첵제목,작가명,내용요약
교육광장 2016 겨울호 (Vol. 62),,"새 교육과정에 따른 평가기준의 개발이 필요해서, 한국교육과정평가원에서는 총론과 교과별 평가기준 등을 연구 개발 하였다.  핵심 개발 방향은 2015년 개정 교육과정이 학교현장에서 운영되도록 하는 것이다."
한국과 독일 금형산업의 노동시장과 숙련형성 비교연구,,"특성화고 전체 취업률은 약 45%, 마이스터고는 약 82%, 폴리텍은 약 86%, 2년제 전문대는 약 65%로 금형과 졸업자의 취업률은 학교별로 차이가 있다."
감사논집(제18호),,"잠재요인을 통한 설명변수의 분산 설명 정도 실험에 따르면 모형의 적합도는 잠재요인이 2개로 늘어날 때 크게 증가하는데, 이를 통해 연구에서 발견하지 못한 잠재설명변수의 개수가 2개 이상임을 알 수 있다."
문화기술 연감,한국콘텐츠진흥원,해외 수출 붐 등 효자 콘텐츠로서의 입지는 여전하다. <공룡의땅>과 <누들로드>는 여러 국가에 수출되어 대히트를 기록했다.
"헌법상 개인정보자기결정권과 성범죄자 신상등록, 신상공개, 신상고지 제도",여경수,"신상정보 고지제도는 아동청소년 성폭력범죄에 한정하며, 예외를 두어 고지대상과 고지상대방을 한정한다. 여성가족부장관이 우편송부 및 게시판 게시로 이를 집행하며, 1회 고지될 뿐 전출이 없으면 추가고지는 하지 않는다. 주소와 실제거주지의 상세주소를 모두 알리므로 일반적 신상공개열람제도보다 범죄인을 더 철저하게 고립시키는 결과를 초래한다."
한국과 독일 금형산업의 노동시장과 숙련형성 비교연구,,독일의 교육 및 직업 환경에서 중요한 부분을 차지하고 있는 이원화 교육제도는 직업종합정보와 교육과정을 개발하고 학생들에게 도제 교육과정을 알리고 시험절차를 구상하는등 다양한 이해 관계자들의 협력을 필요로 한다.
왓슨의 진단 조력에 대한 현행법상 형사책임에 관한 소고,"장연화, 백경희",인공지능의 활용은 의료계에서도 활발하게 일어나고 있는데 특히 IBM사에서 개발한 왓슨은 이미 국내 의료계에도 도입되어 3차 의료기관등에서 암 진단에 활용되고 있다. 일본에서는 왓슨은 진단을 넘어선 치료방식과 투약과정까지도 개입하고 있는 상황이다.
형사절차상 디지털증거의 압수·수색 및 증거능력,한국형사정책연구원,"형사절차에 따라 진술을 받아도 진정성이 없다면 신뢰가 없다고 볼 수 있기 때문에 진술에 힘을 실어주기 위해여 디지털 포렌식 전문가의 감정, 전문가의 증언 등을 통하여 억울함이 없도록 하고 있다."
싱가포르 교육동향 정리[교육과정],한국교육과정평가원,"교육부는 이미 체육 교육 과정에 야외교육 경험 프로그램을 도입하여 초중학교 학생들이 다양한 야외 교육을 통한 배움이 있도록 하고 있고, 지금은 다른 학교와 연합하여 진행하기도 한다."
2015 미술주간행사 가이드북,한국문화예술위원회,"현대미술관 서울관은 필립 가렐의 작품들을 상영하고 설치작품으로 구성했는데, 이 작가의 작품을 전시한 것은 세계 최초이다. 또한 흑백영화 세편이 전시될 예정이다."
2017년 3월 농업기술 (통권 610호),,"새끼 돼지들은 온도 차에 민감하고, 서열 정착으로 인한 스트레스를 받으며 사육 밀도가 높을 경우 면역력이 떨어져 질병에 걸리기 쉽기때문에 관리가 필요하다. 어미돼지도 임신초 관리에 따라 수태율이 달라지므로 세심한 온도 조절이 필요하다."
미래산업·신산업 분야 인재기반 조성을 위한 인적자원 양성 및 취·창업 지원 방안 연구,,"연구방법은 사례분석과 벤치마킹을 위한 문헌분석을 사용하였고, 교육훈련 플랫폼을 구성하기 위해 자문을 이용하였다. 본 연구에서 활용한 전문가는 총 8명이었다."
S-Life,국가기술표준원,"계량소비자감시원은 주부와 직장인 등이며, 이들은 위반사항을 국가기술표준원과 합동 점검하며, 비법정단위를 사용하는 업체도 색출한다. 위반 사례를 발견할 경우, 자율시정을 권고하고 행정조치를 취한다."
산업 패러다임에 따른 미래 제조업의 발전전략 (4) : 융합바이오·스마트헬스케어의 미래 포지셔닝,,개인 맞춤형 치료제는 유전체 분석을 기반으로 환자에게 최적의 의약품을 처방하여 불필요한 의약품 사용과 비용을 절감시킬 수 있다. 글로벌 제약기업들은 의약품 리포지셔닝 연구를 통해 보다 효율적으로 신약을 개발 중이다.
창조 행정을 지향하는 행정포커스,,"현대인들은 수많은 위험에 노출되어 생활하고 있는데, 매슬로우에 따르면 안전에 대한 욕구는 기본적 욕구로 이를 보장하는 것이 국가의 기본적 임무인 바, 헌법 제34조에서 국가의 국민보호의무를 규정하고 있다."
양질의 일자리 창출 방안 모색,한국노동연구원,"독일은 자동화로 인해 고용 총량이 감소되지는 않았으며, 국내 연구에서도 디지털화의 심화가 고용 감소로 이어지지 않았고 반대로 수출 및 매출 증대로 고용이 확대될 가능성이 있다."
국가연구개발 정성평가 현황과 발전방향,,영국은 국가적인 평가제도가 없고 R%D 사업 평가는 각 펀딩 에이전시 재량에 맡기고 있다. Innovate UK도 프로젝트 사후평가를 하지 않지만 과제 종료 2~3년 후 기업에 어떤 변화가 생겼는지 조사하는 사업을 수행하고 있다.
사회적 농업의 실태와 중장기 정책 방향,"김정섭, 안석, 이정해, 김경인",장애인을 고용한 사회적 기업 교남어유지동산은 기후 변동과  제품 유통 과정에 따라 수익에 영향을 받지만 그럼에도 최저 임금을 지급해야 하고 지원 대비 과도한 책임을 져야 하는 근로 작업장 체제를 행정 의무가 아닌 장애인 복지 차원에서 운영하고 있다. 
2017년도 문화재위원회제1차 동산문화재분과위원회 회의자료,문화재청,"비중리 삼존불상이 위치한 지점은 신라 진흥왕대의 북진로(北進路)로 추정되고, 6세기 중엽에서 후반 무렵에 만들어진 고구려계 장인(匠人)의 작품으로 추측된다."
창조 행정을 지향하는 행정포커스,,"우리나라는 청년실업이 구조화하면서 고용불황, 불평등, 불임사회의 '3불 사회'로 전환되고 있다. 9급 공무원 시험 경쟁률은 청년들이 졸업 후 실업을 직면할 수밖에 없는 고용불황에 직면하고 있다는 사실을 보여준다."
한반도 위기의 핵벼랑끝(nuclear brinkmanship) 구조와 심리･인지적 변수에 대한 고찰,김진아,북한은 제4차 핵실험 직후 전쟁 억제력에 대한 자신감을 표출했다. 한미는 저강도 도발도 단호히 대처하는 원칙으로 북한이 기대하지 않도록 오인의 여지를 줄여야 한다.
열림과 닫힘,정진홍 지음,"종교문화는 죽음을 죽음 이후를 다루는 담론으로 바라봄으로써 죽음물음이 현실성을 지니게 되며 이는 종교문화 안에서는 신비적인 권위에 의해 발언되어 재생이나 부활, 윤회전생 등으로 설명된다. "
국민 삶의 질 측정 2016,이희길,일부 국가들이 지표체계의 작성과정에 하향식과 상향식을 보완하는 방식을 사용 중이다. 이러한 방식을 통해 전문가 중심이 아닌 국민 참여가 기반으로 국민의 체감도가 높은 지표가 작성 가능하다.
미래 사회 교육 환경 변화에 따른 교과서 발전 방안 세미나,,"교과서 개발에 대한 의견은 '교과서 개발 주체가 현재보다 다양화', '지식공동체가 형성되어 집단 지성을 활용', '현재와같은 방식', '학생도 교과서 개발에 참여' 순으로 나타났다."
인권증진을 위한 정보경찰 개혁방안 토론회,,정보경찰의 효율적 운영을 위해 업무 평가 등을 기준으로 정보경찰 인력을 대폭 축소한다. 축소 인력은 민생경찰분야에 재배치한다.
한국문화예술위원회 기획형 해외레지던스 참가후기(2013~2016),한국문화예술위원회,사할린의 레지던스에 참가를 했다. 힘든 점도 있었지만 체험하고 작가적 상상력을 가질 수 있는 기회였다.
"육아정책포럼 : 2019 가을, Vol.61",,우리의 아동가족 현금지출이  OECD 국가 평균 보다 매우 낮다. 따라서 제도발전에 따른 재원에 대한 걱정보다 아동가족에 대한 낮은 현금지원 수준을 합리적 수준으로  올리는 것이 옳을 것이다.
대중교통전용지구를 통한 도시재생 활성화 방안 연구,,"정부는 신도시 개발에 따른 인구집중과 주택난 해결을 위해 대규모 신규 토지와 계획적 산업용지 공급했으나, 구도심 쇠퇴와 건물 노후화, 교통정체 및 혼잡비용 증가, 자연환경 훼손, 녹지비율 감소 문제를 야기했다."
2015~2019 국가재정운용계획 : 환경 분야 보고서,,"친환경차 지원정책은 금융시장의 실패를 치유시키지만, 중장기적으로는 생산성을 정체시키므로 환경보호 효과가 큰 유류세 및 배출량 규제 정책으로 바꿔야 한다."
클라우드컴퓨팅 환경에서 전자정보 압수수색의 문제점과 개선방향,이인곤,우리 형사소송법에는 원격수색에 관한 명문의 규정을 두고 있지 않아서 클라우드컴퓨팅 환경에서는 압수수색 법제의 개선이 필요하다.
감사 보고서,감사원,위 연구원은 차입금으로 신청사를 마련해 이자부담이 있어 6차와 법 개정 후 2차 사택 매각 공고를 냈지만 유찰되었다. 3차 공고에 수의계약으로 매각 하였으나 새 입찰의 수의계약은 규정 위반이다. 하지만 규정을 모르고 면책요건을 충족하기에 책임 대신 주의요구로 결정하였다.
저출산 정책과 여성 경제활동의 변화,"손연정, 김근주","모성보호제도와 보육지원정책은 출산 후 기혼여성의 경제활동 참여에 도움이 된다. 하지만 출산휴가와 육아휴직제도를 활용하기 어려운 경우에는 경제활동을 그만두는 경우가 많기 때문에, 제도의 사각지대를 해소해야 한다. 휴가제도 사용 이후 여성이 일과 가정을 병행하는 데 돌봄/보육서비스 지원정책이 도움이 되므로 여성의 경력단절을 막기 위해서는 양육수당이나 자녀장려금 등의 현금지원정책보다는보육서비스의 확대가 필수적이다."
급성 심근경색증 환자에서 약물방출 스텐트와 금속 스텐트의 비교,최동훈,"가장 대표적으로 사용되는 성분 simvastatin, atorvastatin, rosuvastatin 세 가지를 임상전문가의 자문에 따라 사용, 세 약물의 평균가격을 산출하여 Statin의 단위비용을 1,555원을 적용하였다. "
